montant_cible,duree_mois,wallet_solde,total_contributions,nb_contributions,pct_progres,avg_contrib,freq_contrib_mois,jours_depuis_debut,jours_sans_contrib,reste_a_atteindre,ratio_solde_cible,atteint,pct_final_predit,jours_restants
1889.13,24,3524.76,295.52,2,15.64,147.76,2.6534,799,182,1593.61,1.8658,0,29.21,149.9
3748.75,3,3773.28,855.96,28,22.83,30.57,3.3127,846,80,2892.79,1.0065,0,34.3,730.0
1009.06,3,9877.73,1009.06,27,100.0,299.96,0.3462,517,173,0.0,9.789,1,77.58,0.0
1894.44,24,497.08,1894.44,28,100.0,424.27,3.1295,740,151,0.0,0.2624,1,86.52,9.7
2324.9,9,8683.61,2268.08,8,97.56,283.51,3.3044,610,74,56.82,3.735,1,84.86,0.0
2845.21,18,5828.89,2379.75,19,83.64,125.25,1.8999,81,25,465.46,2.0487,1,65.36,0.0
4754.02,3,4442.29,180.8,5,3.8,36.16,3.9349,256,126,4573.22,0.9344,0,22.56,730.0
1358.11,18,7280.05,1358.11,17,100.0,123.02,3.1682,650,114,0.0,5.3604,1,85.57,0.0
3182.56,3,4918.02,1098.7,5,34.52,219.74,3.1173,733,125,2083.86,1.5453,1,34.23,22.5
3636.0,6,8746.89,3636.0,18,100.0,384.61,3.0166,864,27,0.0,2.4056,1,76.42,0.0
469.41,12,9016.95,469.41,27,100.0,110.16,0.6874,617,130,0.0,19.2091,1,74.19,41.2
3723.76,3,4275.04,3723.76,11,100.0,365.5,0.9472,596,74,0.0,1.148,1,61.87,0.0
1189.04,18,2840.6,1189.04,24,100.0,436.13,1.9096,575,165,0.0,2.389,1,74.86,0.0
577.3,6,5964.27,577.3,10,100.0,237.89,1.1296,353,188,0.0,10.3313,1,66.53,0.0
5703.54,3,9132.4,414.29,1,7.26,414.29,1.7194,63,77,5289.25,1.6012,0,13.02,183.1
5800.67,9,2185.56,4007.36,14,69.08,286.24,3.565,739,178,1793.31,0.3768,1,67.21,0.0
4888.7,12,6267.37,3583.8,11,73.31,325.8,3.3149,537,89,1304.9,1.282,1,72.46,0.0
1966.76,3,6352.45,1966.76,11,100.0,272.61,2.5572,620,175,0.0,3.2299,1,86.43,0.0
766.5,6,7357.82,766.5,8,100.0,242.32,3.4467,541,20,0.0,9.5992,1,81.09,0.0
4168.55,9,1402.52,2652.6,20,63.63,132.63,3.1567,567,53,1515.95,0.3365,1,57.97,6.7
2752.88,24,7186.67,2752.88,23,100.0,165.53,1.773,202,183,0.0,2.6106,1,95.9,0.0
907.82,6,9099.42,159.19,1,17.54,159.19,0.8842,67,102,748.63,10.0234,0,15.46,165.5
3072.03,6,1878.86,3072.03,21,100.0,290.38,2.1054,446,58,0.0,0.6116,1,73.22,0.0
399.45,9,2451.68,155.16,2,38.84,77.58,2.9713,120,71,244.29,6.1376,0,39.49,46.1
5474.06,6,9716.81,5060.66,11,92.45,460.06,1.802,138,178,413.4,1.7751,1,69.68,11.9
1700.92,9,1891.67,1700.92,27,100.0,365.91,2.7004,858,19,0.0,1.1121,1,79.24,0.0
4042.63,3,8558.41,4042.63,29,100.0,212.69,0.4679,715,111,0.0,2.117,1,66.64,10.7
2007.92,9,4973.55,2007.92,25,100.0,96.14,3.0172,861,58,0.0,2.477,1,83.0,0.0
3216.39,9,2547.59,3216.39,15,100.0,443.36,3.2696,335,70,0.0,0.7921,1,84.48,0.0
3370.92,12,8720.42,3370.92,20,100.0,415.41,2.8567,17,136,0.0,2.587,1,77.36,18.1
1272.16,9,4508.52,1272.16,27,100.0,366.43,3.8723,38,108,0.0,3.544,1,90.08,0.0
5823.59,9,5196.69,3457.82,23,59.38,150.34,3.3239,121,128,2365.77,0.8924,1,59.15,17.9
4695.77,24,3656.41,4695.77,25,100.0,213.17,3.6221,682,156,0.0,0.7787,1,89.22,6.5
5649.09,3,5970.21,2010.28,29,35.59,69.32,3.7409,140,190,3638.81,1.0568,1,37.01,0.0
5390.0,12,1718.89,0.0,0,0.0,0.0,0.0,197,199,5390.0,0.3189,0,0.78,692.5
3667.82,24,3971.71,3667.82,20,100.0,395.85,2.7296,684,55,0.0,1.0829,1,71.45,30.8
5546.87,18,9697.18,726.44,2,13.1,363.22,0.1223,718,195,4820.43,1.7482,0,8.37,722.7
713.26,3,2655.52,713.26,19,100.0,304.87,1.9167,484,34,0.0,3.7231,1,79.79,12.7
1336.7,3,6601.69,449.95,1,33.66,449.95,2.3275,373,122,886.75,4.9388,0,41.07,23.1
462.32,18,3319.38,462.32,8,100.0,299.97,1.2857,213,130,0.0,7.1798,1,74.39,0.0
2086.92,9,7757.38,2086.92,18,100.0,244.14,1.3406,221,103,0.0,3.7171,1,76.42,3.9
2454.33,24,1395.65,2454.33,14,100.0,183.38,3.8485,630,6,0.0,0.5686,1,94.6,0.5
1773.82,6,9701.23,1773.82,17,100.0,471.42,3.5777,285,26,0.0,5.4691,1,83.92,0.0
5006.68,12,4592.52,1492.5,25,29.81,59.7,3.4118,82,0,3514.18,0.9173,0,61.31,516.5
2269.17,6,2436.9,2269.17,10,100.0,466.83,1.6834,688,198,0.0,1.0739,1,79.24,8.5
1829.42,18,827.62,1829.42,24,100.0,416.82,0.1534,781,171,0.0,0.4524,1,60.06,10.0
3347.64,3,1780.6,1812.14,22,54.13,82.37,0.4129,252,86,1535.5,0.5319,0,28.99,730.0
1017.36,3,5245.76,1017.36,15,100.0,291.19,1.3176,796,40,0.0,5.1562,1,70.58,12.4
4852.74,12,3436.33,4852.74,21,100.0,435.94,0.1614,111,122,0.0,0.7081,1,71.93,0.0
632.39,3,8305.95,632.39,16,100.0,294.47,0.1669,694,74,0.0,13.1342,1,66.25,44.5
5923.94,3,4365.79,1821.84,4,30.75,455.46,3.6748,180,41,4102.1,0.737,0,30.92,103.2
4679.02,12,2562.27,4679.02,11,100.0,472.63,2.854,662,116,0.0,0.5476,1,81.24,15.2
1352.55,24,6209.74,1352.55,10,100.0,222.74,1.3049,197,160,0.0,4.5911,1,72.82,0.0
232.03,24,7097.09,232.03,29,100.0,201.11,0.6173,450,177,0.0,30.5869,1,56.63,12.1
4929.68,12,1753.71,4929.68,14,100.0,469.43,2.0954,95,62,0.0,0.3557,1,77.69,0.0
4299.77,18,1759.43,4299.77,26,100.0,344.07,0.1209,485,164,0.0,0.4092,1,60.66,0.0
4428.24,3,463.05,151.38,2,3.42,75.69,3.7598,61,186,4276.86,0.1046,0,15.6,443.6
4673.37,3,7390.38,0.0,0,0.0,0.0,0.0,120,126,4673.37,1.5814,0,8.02,712.6
629.46,18,6671.66,629.46,19,100.0,291.02,1.6691,886,175,0.0,10.599,1,69.73,10.1
2279.1,24,4798.85,2279.1,28,100.0,466.48,1.6233,863,132,0.0,2.1056,1,71.4,32.3
872.04,9,8457.29,872.04,15,100.0,425.24,0.3704,52,47,0.0,9.6983,1,63.82,16.5
5206.0,9,8076.13,344.41,1,6.62,344.41,2.5895,220,2,4861.59,1.5513,0,27.85,218.8
3815.13,9,5895.01,86.78,1,2.27,86.78,2.9587,209,115,3728.35,1.5452,0,28.06,404.6
2119.21,24,8695.89,284.06,2,13.4,142.03,2.7369,819,174,1835.15,4.1034,0,19.15,131.5
568.64,24,2137.83,568.64,7,100.0,440.25,0.6399,867,189,0.0,3.7595,1,67.31,0.0
2003.7,18,1208.0,2003.7,23,100.0,107.75,2.3575,761,98,0.0,0.6029,1,79.75,24.6
2086.06,3,2770.52,2086.06,27,100.0,153.65,2.321,636,115,0.0,1.3281,1,74.58,0.0
4431.72,18,665.16,1150.94,14,25.97,82.21,3.4868,35,13,3280.78,0.1501,0,36.19,347.1
3897.83,18,5358.58,2067.18,6,53.03,344.53,1.5786,308,190,1830.65,1.3748,1,46.91,12.7
5345.83,24,9372.4,2365.55,5,44.25,473.11,1.5488,86,111,2980.28,1.7532,0,34.28,92.9
2938.85,9,489.5,1192.8,8,40.59,149.1,2.5123,146,60,1746.05,0.1666,0,39.76,127.4
893.65,6,1308.89,893.65,19,100.0,248.2,2.569,29,158,0.0,1.4647,1,78.26,19.9
4336.82,3,4576.77,4336.82,27,100.0,324.48,1.9302,449,94,0.0,1.0553,1,76.06,0.0
4612.55,24,9345.36,0.0,0,0.0,0.0,0.0,220,16,4612.55,2.0261,0,1.22,695.7
3455.41,9,3229.95,492.17,7,14.24,70.31,2.0272,761,123,2963.24,0.9348,0,24.35,605.7
4671.61,6,5121.62,4671.61,22,100.0,259.31,3.4581,560,23,0.0,1.0963,1,95.44,0.0
3064.01,6,511.57,3064.01,22,100.0,204.86,1.8986,444,115,0.0,0.167,1,63.1,3.3
3231.85,24,1568.6,871.18,2,26.96,435.59,3.7657,789,150,2360.67,0.4854,0,39.28,41.8
2679.74,12,9867.64,745.38,3,27.82,248.46,2.0656,216,81,1934.36,3.6823,0,23.65,100.8
347.43,3,9654.68,347.43,25,100.0,73.27,3.8019,448,49,0.0,27.7888,1,85.88,18.8
825.77,6,148.91,825.77,24,100.0,324.52,3.348,788,78,0.0,0.1803,1,89.49,0.0
382.29,24,9522.94,382.29,14,100.0,389.97,1.5135,675,78,0.0,24.9103,1,80.07,4.2
3891.18,24,6427.29,106.9,5,2.75,21.38,3.4682,51,69,3784.28,1.6518,0,28.82,718.8
2023.26,9,8692.39,2023.26,14,100.0,432.3,0.5292,420,26,0.0,4.2962,1,74.35,30.2
3149.71,12,4601.92,2185.8,20,69.4,109.29,3.7077,532,14,963.91,1.4611,1,66.49,0.0
5463.89,3,5204.4,569.98,2,10.43,284.99,2.5634,815,49,4893.91,0.9525,0,29.15,202.5
1645.89,18,4939.58,1645.89,24,100.0,219.58,0.3121,619,35,0.0,3.0012,1,74.86,20.7
2580.22,9,6701.96,2580.22,20,100.0,365.43,2.6126,436,7,0.0,2.5974,1,81.37,5.6
4582.2,6,1482.55,3963.2,20,86.49,198.16,3.8996,284,78,619.0,0.3235,1,85.5,5.1
1527.03,6,396.74,1527.03,13,100.0,437.49,0.3722,457,130,0.0,0.2598,1,67.44,0.0
646.48,9,3148.51,646.48,19,100.0,370.64,2.2633,893,189,0.0,4.8702,1,85.63,13.6
1880.56,24,7076.34,1880.56,13,100.0,330.9,3.0164,751,46,0.0,3.7629,1,82.29,1.1
1135.08,6,2098.35,1135.08,3,100.0,402.2,3.26,378,104,0.0,1.8486,1,81.51,10.8
5592.25,12,6766.98,4201.23,11,75.13,381.93,1.7139,229,97,1391.02,1.2101,1,53.52,3.7
4887.1,3,9702.13,596.0,16,12.2,37.25,0.8962,586,95,4291.1,1.9853,0,12.44,718.8
3873.74,12,1029.62,1256.82,6,32.44,209.47,0.2651,876,188,2616.92,0.2658,0,23.1,730.0
5254.47,6,6758.76,3734.32,8,71.07,466.79,2.3609,241,159,1520.15,1.2863,1,55.63,4.0
4861.3,18,4493.13,160.7,2,3.31,80.35,1.8664,337,115,4700.6,0.9243,0,12.1,704.2
1282.11,3,8694.61,1282.11,27,100.0,373.81,3.8001,452,12,0.0,6.7815,1,85.17,26.2
5376.84,3,1853.78,5376.84,12,100.0,487.8,0.3364,61,0,0.0,0.3448,1,69.63,0.0
3328.19,9,6957.0,630.84,14,18.95,45.06,2.773,895,33,2697.35,2.0903,0,34.13,665.6
4883.15,9,8397.34,4883.15,17,100.0,347.45,0.1974,385,189,0.0,1.7197,1,72.24,29.7
5397.33,18,9451.68,4404.78,18,81.61,244.71,0.7686,272,78,992.55,1.7512,1,62.82,0.0
2044.42,24,6864.16,0.0,0,0.0,0.0,0.0,276,77,2044.42,3.3575,0,0.0,727.5
838.3,3,5022.03,304.8,5,36.36,60.96,1.874,368,120,533.5,5.9907,0,34.77,135.8
1522.02,18,6216.69,1056.64,26,69.42,40.64,2.7742,326,92,465.38,4.0845,1,56.45,0.0
2677.23,9,8702.16,2677.23,26,100.0,340.1,3.6498,333,97,0.0,3.2504,1,88.97,36.6
4944.49,9,5749.04,4944.49,22,100.0,415.19,2.5922,675,81,0.0,1.1627,1,81.4,0.0
5192.24,3,400.83,5192.24,26,100.0,395.37,3.8188,879,198,0.0,0.0772,1,100.0,0.0
240.32,12,9316.39,240.32,26,100.0,281.03,3.5383,887,158,0.0,38.7666,1,91.67,30.1
3162.33,6,6926.31,67.94,1,2.15,67.94,2.3795,661,191,3094.39,2.1903,0,17.25,567.8
2620.98,9,6797.48,2620.98,23,100.0,350.26,3.3518,572,152,0.0,2.5935,1,84.9,0.0
1488.23,24,2235.18,1488.23,13,100.0,136.11,2.6061,638,37,0.0,1.5019,1,85.64,5.3
895.22,24,6622.97,895.22,5,100.0,457.31,0.4064,430,13,0.0,7.3981,1,62.86,16.1
2158.17,9,3999.26,2158.17,13,100.0,422.37,2.9882,55,135,0.0,1.8531,1,88.63,0.0
5668.88,12,6547.21,1081.5,3,19.08,360.5,0.4701,830,90,4587.38,1.1549,0,9.79,730.0
2074.58,12,1155.27,2074.58,20,100.0,475.45,2.4169,609,53,0.0,0.5569,1,76.69,0.0
3208.99,18,6612.67,245.56,7,7.65,35.08,2.8403,729,129,2963.43,2.0607,0,12.82,703.6
4277.51,24,9994.2,4277.51,29,100.0,373.38,0.3595,898,100,0.0,2.3365,1,70.23,0.0
2309.05,18,577.3,357.04,2,15.46,178.52,1.0001,278,88,1952.01,0.25,0,17.3,339.8
5836.34,24,9774.02,5836.34,18,100.0,454.91,3.6711,610,55,0.0,1.6747,1,84.22,15.2
5782.19,6,4128.39,4292.0,29,74.23,148.0,2.5036,390,93,1490.19,0.714,1,58.63,0.0
1660.34,6,8720.46,1660.34,13,100.0,367.93,1.0605,127,92,0.0,5.2522,1,78.26,14.5
3084.04,3,7845.62,3084.04,26,100.0,441.27,2.7937,575,83,0.0,2.5439,1,81.09,3.3
1945.09,18,5713.46,760.0,19,39.07,40.0,2.4274,125,84,1185.09,2.9374,0,36.12,348.6
1852.07,9,7410.65,1852.07,16,100.0,210.87,2.0561,639,188,0.0,4.0013,1,86.95,0.0
413.94,18,8797.3,413.94,24,100.0,385.91,3.9071,269,21,0.0,21.2526,1,85.16,4.6
3735.47,9,4100.99,1668.52,7,44.67,238.36,2.7655,84,34,2066.95,1.0979,1,51.32,25.8
3115.54,12,3337.63,3115.54,23,100.0,148.28,1.5642,489,15,0.0,1.0713,1,68.63,0.7
498.58,18,6709.17,498.58,13,100.0,125.51,3.2203,314,49,0.0,13.4566,1,82.55,0.0
1816.15,12,8097.67,1816.15,25,100.0,83.13,3.5499,16,121,0.0,4.4587,1,88.81,0.0
5467.94,6,7646.62,2157.1,5,39.45,431.42,0.5884,375,127,3310.84,1.3984,0,28.88,421.9
1589.46,6,7998.36,1589.46,22,100.0,296.17,0.8822,643,112,0.0,5.0321,1,71.51,20.8
1040.39,3,4412.27,1040.39,21,100.0,56.66,0.9433,532,170,0.0,4.241,1,67.97,6.0
3038.83,18,8196.56,3038.83,15,100.0,203.64,2.7957,357,16,0.0,2.6973,1,73.79,29.6
5916.77,12,1290.07,4716.24,24,79.71,196.51,2.4519,447,79,1200.53,0.218,1,73.85,4.5
1603.92,9,5490.44,1603.92,18,100.0,107.23,2.5141,224,185,0.0,3.4231,1,77.7,0.0
4098.39,6,157.01,2977.52,13,72.65,229.04,3.769,438,129,1120.87,0.0383,1,71.28,11.1
4617.39,6,3313.4,3229.38,18,69.94,179.41,3.1261,800,131,1388.01,0.7176,1,67.73,0.0
1578.3,9,3727.97,368.14,2,23.33,184.07,0.599,507,84,1210.16,2.362,0,20.3,309.4
4423.65,12,4022.11,3372.57,9,76.24,374.73,1.4553,549,166,1051.08,0.9092,1,54.74,15.4
2333.14,12,6985.13,2289.06,18,98.11,127.17,1.798,756,93,44.08,2.9939,1,80.36,17.1
3867.37,18,3946.73,2624.72,8,67.87,328.09,1.6443,376,133,1242.65,1.0205,1,56.55,0.0
3874.47,18,4542.07,3874.47,27,100.0,293.91,2.7103,322,80,0.0,1.1723,1,82.26,0.0
3307.49,24,2451.69,3307.49,19,100.0,292.68,3.5784,547,68,0.0,0.7413,1,87.35,0.0
723.68,24,3795.19,723.68,12,100.0,338.24,1.2936,63,68,0.0,5.2443,1,81.17,0.0
5044.75,3,2349.97,1699.32,6,33.68,283.22,2.2523,550,147,3345.43,0.4658,0,31.76,166.9
2060.52,6,824.64,2060.52,13,100.0,442.04,3.1787,476,191,0.0,0.4002,1,86.15,1.0
1281.81,18,6074.14,1281.81,8,100.0,344.28,1.7233,874,15,0.0,4.7387,1,72.7,23.3
436.5,12,6715.31,436.5,26,100.0,282.54,0.7557,173,50,0.0,15.3844,1,59.85,6.3
3627.18,9,6232.95,3627.18,27,100.0,418.29,1.9523,791,104,0.0,1.7184,1,66.9,0.0
4129.87,12,4688.59,4129.87,22,100.0,310.95,0.3154,343,164,0.0,1.1353,1,61.82,0.0
296.21,6,3859.88,296.21,24,100.0,159.75,3.7753,556,196,0.0,13.0309,1,84.36,3.6
3170.14,24,8647.0,3170.14,27,100.0,119.41,0.3918,807,169,0.0,2.7276,1,78.22,0.0
1513.68,12,5238.91,1513.68,18,100.0,93.12,1.81,357,184,0.0,3.461,1,79.35,0.0
3942.0,3,4843.9,3942.0,14,100.0,451.74,2.1665,282,65,0.0,1.2288,1,81.94,0.0
1211.33,6,353.86,1211.33,19,100.0,360.87,3.9427,729,8,0.0,0.2921,1,85.47,0.0
4207.44,24,3478.35,4207.44,13,100.0,469.94,0.7475,759,106,0.0,0.8267,1,69.79,0.0
2443.07,9,3863.94,2443.07,23,100.0,309.58,0.5463,423,99,0.0,1.5816,1,79.81,0.0
5633.03,24,4048.35,1236.15,5,21.94,247.23,0.134,509,85,4396.88,0.7187,0,8.99,730.0
997.62,3,5843.71,973.2,20,97.55,48.66,0.7067,102,63,24.42,5.8577,1,69.93,22.9
2178.18,6,5382.67,2178.18,28,100.0,342.39,0.9084,694,21,0.0,2.4712,1,78.51,30.6
858.15,9,6118.26,858.15,3,100.0,299.46,2.5593,88,161,0.0,7.1296,1,85.19,0.2
5563.22,3,7672.34,3467.1,7,62.32,495.3,0.9569,631,182,2096.12,1.3791,1,55.26,5.4
5288.57,24,8148.56,2156.8,16,40.78,134.8,0.18,226,156,3131.77,1.5408,0,28.65,730.0
1696.06,3,7209.42,1696.06,29,100.0,274.75,3.3238,367,165,0.0,4.2507,1,87.96,0.0
4027.91,6,9559.68,2659.68,8,66.03,332.46,1.5258,627,109,1368.23,2.3734,1,52.62,16.1
4939.89,18,280.5,0.0,0,0.0,0.0,0.0,516,96,4939.89,0.0568,0,2.67,730.0
3420.16,3,2038.2,3420.16,23,100.0,289.42,1.2797,568,17,0.0,0.5959,1,68.1,0.0
3271.97,3,174.87,3271.97,19,100.0,392.93,3.904,190,70,0.0,0.0534,1,92.39,27.7
1602.74,24,6510.0,1602.74,24,100.0,118.39,0.7635,585,192,0.0,4.0618,1,71.05,41.2
740.0,24,8990.5,740.0,13,100.0,368.3,3.6031,255,126,0.0,12.1493,1,86.93,15.6
5403.85,9,2510.47,3174.7,10,58.75,317.47,3.1295,253,96,2229.15,0.4646,1,65.7,11.9
5422.42,24,9277.64,5422.42,20,100.0,450.12,0.3983,515,0,0.0,1.711,1,74.06,0.0
3871.99,12,696.65,853.3,2,22.04,426.65,3.9482,431,131,3018.69,0.1799,0,44.05,75.1
2166.37,6,9350.92,1370.16,8,63.25,171.27,1.1583,329,3,796.21,4.3164,1,62.6,0.0
2225.42,6,3581.06,2225.42,26,100.0,152.59,0.4845,96,124,0.0,1.6092,1,72.18,7.4
4410.54,18,1104.07,4410.54,13,100.0,491.19,3.3343,226,81,0.0,0.2503,1,80.18,9.4
5403.24,18,4910.13,5403.24,29,100.0,273.09,2.856,499,26,0.0,0.9087,1,83.93,0.0
5345.1,6,2642.09,3640.64,8,68.11,455.08,2.5072,528,170,1704.46,0.4943,1,69.11,8.1
4723.28,18,2920.24,295.98,3,6.27,98.66,0.7083,287,58,4427.3,0.6183,0,0.0,730.0
3923.78,9,3142.17,3923.78,26,100.0,328.55,1.9661,858,31,0.0,0.8008,1,75.86,0.0
688.01,24,8049.96,688.01,3,100.0,408.73,3.1442,731,160,0.0,11.7004,1,89.68,0.0
1137.45,6,5437.7,1137.45,27,100.0,474.75,1.2841,178,27,0.0,4.7806,1,72.13,0.0
5411.61,18,3181.95,1273.44,7,23.53,181.92,1.3156,339,105,4138.17,0.588,0,27.24,500.8
3717.29,6,6142.3,367.99,1,9.9,367.99,0.1122,659,104,3349.3,1.6524,0,14.15,691.4
253.34,12,7189.89,253.34,8,100.0,278.63,0.7795,450,182,0.0,28.3804,1,70.84,3.2
788.53,3,2798.98,788.53,28,100.0,49.1,3.5141,400,187,0.0,3.5496,1,88.63,15.9
4048.31,24,4194.14,4048.31,13,100.0,351.2,1.8228,505,69,0.0,1.036,1,76.4,8.2
229.36,6,1306.67,229.36,21,100.0,351.25,3.9385,390,61,0.0,5.697,1,90.12,0.0
1132.69,3,1893.38,1132.69,8,100.0,466.69,1.6433,315,33,0.0,1.6716,1,85.37,0.0
3382.66,18,6843.07,3382.66,23,100.0,258.71,2.8892,751,86,0.0,2.023,1,82.02,5.4
4212.99,3,1896.24,2871.44,22,68.16,130.52,1.1995,829,113,1341.55,0.4501,1,49.74,0.0
3981.38,24,5299.12,620.85,15,15.59,41.39,1.5189,682,105,3360.53,1.331,0,24.46,703.4
1500.76,6,7119.56,1500.76,28,100.0,219.51,0.8438,522,55,0.0,4.744,1,65.85,0.0
4330.64,12,1158.08,4330.64,29,100.0,164.92,1.4535,757,112,0.0,0.2674,1,70.65,0.0
1576.04,18,5716.39,1576.04,16,100.0,385.32,2.2342,197,12,0.0,3.6271,1,75.36,8.2
2087.32,6,2639.97,2087.32,15,100.0,190.05,3.9679,525,183,0.0,1.2648,1,87.53,26.0
4529.65,24,9632.98,4529.65,29,100.0,475.55,2.6904,653,17,0.0,2.1266,1,80.08,52.0
3967.87,18,4887.1,3967.87,11,100.0,481.91,0.8771,436,181,0.0,1.2317,1,73.76,6.8
5125.5,9,8079.33,636.08,2,12.41,318.04,0.2753,511,112,4489.42,1.5763,0,8.01,730.0
4014.15,3,5547.24,4014.15,10,100.0,465.76,0.5928,739,170,0.0,1.3819,1,72.25,0.0
3496.19,24,529.78,3496.19,13,100.0,385.21,2.294,269,38,0.0,0.1515,1,83.08,0.0
743.31,9,6368.2,743.31,17,100.0,282.49,3.0841,522,188,0.0,8.5674,1,80.24,25.7
2332.75,6,9518.89,2131.0,20,91.35,106.55,3.7676,80,169,201.75,4.0805,1,86.2,0.0
1738.17,12,6055.96,1738.17,20,100.0,240.13,0.1617,487,78,0.0,3.4841,1,70.64,1.5
1615.14,18,8209.97,1156.88,4,71.63,289.22,2.1388,187,145,458.26,5.0831,1,50.59,24.5
5843.46,3,8853.64,5843.46,15,100.0,434.7,1.9364,466,150,0.0,1.5151,1,78.09,0.0
2479.97,18,2357.99,2479.97,19,100.0,251.04,2.6586,198,181,0.0,0.9508,1,78.42,30.0
5373.87,6,2199.24,1803.52,4,33.56,450.88,2.2824,300,29,3570.35,0.4092,0,42.02,115.5
3860.6,18,6148.71,687.38,2,17.81,343.69,2.7795,529,97,3173.22,1.5927,0,25.67,108.8
4809.91,3,4169.18,943.36,11,19.61,85.76,2.6665,774,57,3866.55,0.8668,0,22.05,494.3
3115.3,6,8414.63,0.0,0,0.0,0.0,0.0,301,195,3115.3,2.7011,0,0.0,730.0
3546.04,18,9010.23,3546.04,20,100.0,273.07,3.2189,765,66,0.0,2.5409,1,79.83,0.0
3056.6,12,3598.87,3056.6,28,100.0,208.09,0.5806,644,70,0.0,1.1774,1,72.73,9.4
1332.41,24,2445.02,1332.41,8,100.0,336.37,2.8243,820,145,0.0,1.835,1,77.9,0.0
4390.22,6,7827.2,2023.56,28,46.09,72.27,1.723,292,105,2366.66,1.7829,1,40.21,19.3
1828.48,24,2820.58,1828.48,8,100.0,325.54,2.104,553,6,0.0,1.5426,1,93.35,0.0
341.03,6,8243.88,341.03,3,100.0,259.15,3.6229,855,39,0.0,24.1735,1,92.23,40.8
3943.74,12,4295.01,430.4,2,10.91,215.2,3.5705,386,69,3513.34,1.0891,1,30.9,0.0
1227.24,24,6708.74,1227.24,16,100.0,477.45,3.2896,667,192,0.0,5.4665,1,84.1,0.0
5654.66,9,1045.8,270.82,1,4.79,270.82,2.0896,165,67,5383.84,0.1849,0,17.57,292.3
5732.79,3,6276.21,2879.14,23,50.22,125.18,2.9713,517,48,2853.65,1.0948,1,53.92,21.6
5506.21,9,4572.5,0.0,0,0.0,0.0,0.0,422,51,5506.21,0.8304,0,0.0,730.0
2346.92,18,5907.42,2346.92,7,100.0,461.31,3.4915,537,113,0.0,2.5171,1,90.21,3.3
289.65,12,1763.34,289.65,12,100.0,104.53,1.6708,364,106,0.0,6.0878,1,69.52,6.8
5584.25,9,7395.05,2699.4,22,48.34,122.7,3.8839,568,28,2884.85,1.3243,1,57.59,6.8
2683.47,6,8641.69,367.5,14,13.69,26.25,3.7361,772,148,2315.97,3.2203,1,25.78,0.0
5806.6,18,2245.72,187.67,7,3.23,26.81,2.9923,196,77,5618.93,0.3868,0,29.87,730.0
5789.0,18,1047.57,4599.21,11,79.45,418.11,1.1897,40,8,1189.79,0.181,1,62.6,0.0
5147.45,9,334.02,5147.45,21,100.0,371.42,0.6134,269,174,0.0,0.0649,1,60.9,0.0
1907.8,9,6455.52,1907.8,11,100.0,190.42,3.4333,430,75,0.0,3.3838,1,85.6,1.1
2433.57,12,6110.23,2433.57,13,100.0,355.19,0.7447,538,41,0.0,2.5108,1,66.86,0.0
